Fila 0, Código: 25184, Error: 1062 (23000): Duplicate entry '25184-2023-05-22-1-2023-07-05' for key 'vencimientos.PRIMARY'
Fila 1, Código: 22639, Error: 1062 (23000): Duplicate entry '22639-2023-05-22-1-2023-07-09' for key 'vencimientos.PRIMARY'
Fila 2, Código: 24112, Error: 1062 (23000): Duplicate entry '24112-2023-05-22-1-2023-07-24' for key 'vencimientos.PRIMARY'
Fila 3, Código: 25232, Error: 1062 (23000): Duplicate entry '25232-2023-05-22-1-2023-07-28' for key 'vencimientos.PRIMARY'
Fila 4, Código: 20475, Error: 1062 (23000): Duplicate entry '20475-2023-05-22-1-2023-08-02' for key 'vencimientos.PRIMARY'
Fila 5, Código: 25233, Error: 1062 (23000): Duplicate entry '25233-2023-05-22-1-2023-08-05' for key 'vencimientos.PRIMARY'
Fila 6, Código: 25140, Error: 1062 (23000): Duplicate entry '25140-2023-05-22-1-2023-08-07' for key 'vencimientos.PRIMARY'
Fila 7, Código: 25144, Error: 1062 (23000): Duplicate entry '25144-2023-05-22-1-2023-08-09' for key 'vencimientos.PRIMARY'
Fila 8, Código: 24109, Error: 1062 (23000): Duplicate entry '24109-2023-05-22-1-2023-08-09' for key 'vencimientos.PRIMARY'
Fila 9, Código: 25226, Error: 1062 (23000): Duplicate entry '25226-2023-05-22-1-2023-08-12' for key 'vencimientos.PRIMARY'
Fila 10, Código: 24117, Error: 1062 (23000): Duplicate entry '24117-2023-05-22-1-2023-08-13' for key 'vencimientos.PRIMARY'
Fila 11, Código: 20474, Error: 1062 (23000): Duplicate entry '20474-2023-05-22-1-2023-08-16' for key 'vencimientos.PRIMARY'
Fila 12, Código: 22640, Error: 1062 (23000): Duplicate entry '22640-2023-05-22-1-2023-08-16' for key 'vencimientos.PRIMARY'
Fila 13, Código: 25232, Error: 1062 (23000): Duplicate entry '25232-2023-05-22-1-2023-08-17' for key 'vencimientos.PRIMARY'
Fila 14, Código: 21333, Error: 1062 (23000): Duplicate entry '21333-2023-05-22-1-2023-08-21' for key 'vencimientos.PRIMARY'
Fila 15, Código: 25184, Error: 1062 (23000): Duplicate entry '25184-2023-05-22-1-2023-08-23' for key 'vencimientos.PRIMARY'
Fila 16, Código: 25234, Error: 1062 (23000): Duplicate entry '25234-2023-05-22-1-2023-08-26' for key 'vencimientos.PRIMARY'
Fila 17, Código: 25236, Error: 1062 (23000): Duplicate entry '25236-2023-05-22-1-2023-08-29' for key 'vencimientos.PRIMARY'
Fila 18, Código: 25237, Error: 1062 (23000): Duplicate entry '25237-2023-05-22-1-2023-09-01' for key 'vencimientos.PRIMARY'
Fila 19, Código: 25226, Error: 1062 (23000): Duplicate entry '25226-2023-05-22-1-2023-09-03' for key 'vencimientos.PRIMARY'
Fila 20, Código: 25185, Error: 1062 (23000): Duplicate entry '25185-2023-05-22-1-2023-09-03' for key 'vencimientos.PRIMARY'
Fila 21, Código: 25046, Error: 1062 (23000): Duplicate entry '25046-2023-05-22-1-2023-09-04' for key 'vencimientos.PRIMARY'
Fila 22, Código: 21337, Error: 1062 (23000): Duplicate entry '21337-2023-05-22-1-2023-09-07' for key 'vencimientos.PRIMARY'
Fila 24, Código: 22639, Error: 1062 (23000): Duplicate entry '22639-2023-05-22-1-2023-09-08' for key 'vencimientos.PRIMARY'
Fila 25, Código: 25229, Error: 1062 (23000): Duplicate entry '25229-2023-05-22-1-2023-09-09' for key 'vencimientos.PRIMARY'
Fila 26, Código: 20489, Error: 1062 (23000): Duplicate entry '20489-2023-05-22-1-2023-09-09' for key 'vencimientos.PRIMARY'
Fila 27, Código: 20474, Error: 1062 (23000): Duplicate entry '20474-2023-05-22-1-2023-09-09' for key 'vencimientos.PRIMARY'
Fila 28, Código: 25744, Error: 1062 (23000): Duplicate entry '25744-2023-05-22-1-2023-09-09' for key 'vencimientos.PRIMARY'
Fila 29, Código: 23676, Error: 1062 (23000): Duplicate entry '23676-2023-05-22-1-2023-09-10' for key 'vencimientos.PRIMARY'
Fila 30, Código: 23677, Error: 1062 (23000): Duplicate entry '23677-2023-05-22-1-2023-09-10' for key 'vencimientos.PRIMARY'
Fila 31, Código: 25298, Error: 1062 (23000): Duplicate entry '25298-2023-05-22-1-2023-09-11' for key 'vencimientos.PRIMARY'
Fila 32, Código: 21334, Error: 1062 (23000): Duplicate entry '21334-2023-05-22-1-2023-09-11' for key 'vencimientos.PRIMARY'
Fila 33, Código: 25003, Error: 1062 (23000): Duplicate entry '25003-2023-05-22-1-2023-09-16' for key 'vencimientos.PRIMARY'
Fila 34, Código: 25005, Error: 1062 (23000): Duplicate entry '25005-2023-05-22-1-2023-09-17' for key 'vencimientos.PRIMARY'
Fila 35, Código: 25145, Error: 1062 (23000): Duplicate entry '25145-2023-05-22-1-2023-09-17' for key 'vencimientos.PRIMARY'
Fila 36, Código: 25480, Error: 1062 (23000): Duplicate entry '25480-2023-05-22-1-2023-09-17' for key 'vencimientos.PRIMARY'
Fila 37, Código: 25189, Error: 1062 (23000): Duplicate entry '25189-2023-05-22-1-2023-09-18' for key 'vencimientos.PRIMARY'
Fila 38, Código: 25188, Error: 1062 (23000): Duplicate entry '25188-2023-05-22-1-2023-09-18' for key 'vencimientos.PRIMARY'
Fila 39, Código: 25140, Error: 1062 (23000): Duplicate entry '25140-2023-05-22-1-2023-09-18' for key 'vencimientos.PRIMARY'
Fila 40, Código: 25185, Error: 1062 (23000): Duplicate entry '25185-2023-05-22-1-2023-09-19' for key 'vencimientos.PRIMARY'
Fila 41, Código: 25184, Error: 1062 (23000): Duplicate entry '25184-2023-05-22-1-2023-09-19' for key 'vencimientos.PRIMARY'
Fila 42, Código: 25233, Error: 1062 (23000): Duplicate entry '25233-2023-05-22-1-2023-09-21' for key 'vencimientos.PRIMARY'
Fila 43, Código: 25141, Error: 1062 (23000): Duplicate entry '25141-2023-05-22-1-2023-09-23' for key 'vencimientos.PRIMARY'
Fila 44, Código: 20475, Error: 1062 (23000): Duplicate entry '20475-2023-05-22-1-2023-09-24' for key 'vencimientos.PRIMARY'
Fila 45, Código: 25144, Error: 1062 (23000): Duplicate entry '25144-2023-05-22-1-2023-09-25' for key 'vencimientos.PRIMARY'
Fila 46, Código: 25237, Error: 1062 (23000): Duplicate entry '25237-2023-05-22-1-2023-10-01' for key 'vencimientos.PRIMARY'
